director_name,actor_1_name,actor_2_name,actor_3_name,genres,movie_title,comb
Brian DeCubellis,Victoria Justice,Matthew Daddario,Katherine McNamara,Crime Drama Thriller,trust,Victoria Justice Matthew Daddario Katherine McNamara Brian DeCubellis Crime Drama Thriller
Zack Snyder,Ben Affleck,Henry Cavill,Amy Adams,Action Adventure Fantasy Science Fiction,zack snyder's justice league,Ben Affleck Henry Cavill Amy Adams Zack Snyder Action Adventure Fantasy Science Fiction
Dominic Cooke,Benedict Cumberbatch,Merab Ninidze,Rachel Brosnahan,Thriller History Drama Action,the courier,Benedict Cumberbatch Merab Ninidze Rachel Brosnahan Dominic Cooke Thriller History Drama Action
BenDavid Grabinski,Joel McHale,Kerry Bishé,Stephen Root,Comedy Romance Thriller,happily,Joel McHale Kerry Bishé Stephen Root BenDavid Grabinski Comedy Romance Thriller
Ilya Naishuller,Bob Odenkirk,Connie Nielsen,Aleksei Serebryakov,Action Crime Thriller,nobody,Bob Odenkirk Connie Nielsen Aleksei Serebryakov Ilya Naishuller Action Crime Thriller
Kitao Sakurai,Eric André,Lil Rel Howery,Tiffany Haddish,Comedy,bad trip,Eric André Lil Rel Howery Tiffany Haddish Kitao Sakurai Comedy
Justin P. Lange,Guy Pearce,Vadhir Derbez,Stephen Lang,Horror,the seventh day,Guy Pearce Vadhir Derbez Stephen Lang Justin P. Lange Horror
Giorgio Serafini,William Shatner,Jean Smart,Christopher Lloyd,Comedy Romance,senior moment,William Shatner Jean Smart Christopher Lloyd Giorgio Serafini Comedy Romance
Adam Wingard,Alexander Skarsgård,Millie Bobby Brown,Rebecca Hall,Action Fantasy Science Fiction,godzilla vs. kong,Alexander Skarsgård Millie Bobby Brown Rebecca Hall Adam Wingard Action Fantasy Science Fiction
Ricky Staub,Idris Elba,Caleb McLaughlin,Jharrel Jerome,Drama Western,concrete cowboy,Idris Elba Caleb McLaughlin Jharrel Jerome Ricky Staub Drama Western
Evan Spiliotopoulos,Jeffrey Dean Morgan,Katie Aselton,William Sadler,Horror Mystery,the unholy,Jeffrey Dean Morgan Katie Aselton William Sadler Evan Spiliotopoulos Horror Mystery
Vaughn Stein,Casey Affleck,Sam Claflin,Veronica Ferres,Thriller,every breath you take,Casey Affleck Sam Claflin Veronica Ferres Vaughn Stein Thriller
Emma Seligman,Rachel Sennott,Molly Gordon,Polly Draper,Comedy Drama,shiva baby,Rachel Sennott Molly Gordon Polly Draper Emma Seligman Comedy Drama
Richard Correll,Mira Sorvino,Austyn Johnson,Kevin Sorbo,Family Drama,the girl who believes in miracles,Mira Sorvino Austyn Johnson Kevin Sorbo Richard Correll Family Drama
Shan Serafin,Aidan Bristow,Sophie Kargman,Susan Wilder,Drama,the believer,Aidan Bristow Sophie Kargman Susan Wilder Shan Serafin Drama
Bruce Wemple,Francesca Anderson,Adrián Burke,Chris Cimperman,Horror Thriller,dawn of the beast,Francesca Anderson Adrián Burke Chris Cimperman Bruce Wemple Horror Thriller
Neil Burger,Tye Sheridan,Lily-Rose Depp,Fionn Whitehead,Science Fiction Thriller,voyagers,Tye Sheridan Lily-Rose Depp Fionn Whitehead Neil Burger Science Fiction Thriller
Ben Falcone,Melissa McCarthy,Octavia Spencer,Bobby Cannavale,Action Adventure Comedy Science Fiction,thunder force,Melissa McCarthy Octavia Spencer Bobby Cannavale Ben Falcone Action Adventure Comedy Science Fiction
Ryan Crego,Michael J. Woodard,Mary Lambert,Haley Tju,Animation Comedy Family,arlo the alligator boy,Michael J. Woodard Mary Lambert Haley Tju Ryan Crego Animation Comedy Family
Argyris Papadimitropoulos,Sebastian Stan,Denise Gough,Yorgos Pirpassopoulos,Science Fiction Thriller Drama Mystery Action,monday,Sebastian Stan Denise Gough Yorgos Pirpassopoulos Argyris Papadimitropoulos Science Fiction Thriller Drama Mystery Action
Ben Wheatley,Joel Fry,Reece Shearsmith,Hayley Squires,Horror Science Fiction Thriller,in the earth,Joel Fry Reece Shearsmith Hayley Squires Ben Wheatley Horror Science Fiction Thriller
Joe Penna,Anna Kendrick,Daniel Dae Kim,Shamier Anderson,Thriller Action,stowaway,Anna Kendrick Daniel Dae Kim Shamier Anderson Joe Penna Thriller Action
Simon McQuoid,Lewis Tan,Jessica McNamee,Josh Lawson,Action Fantasy Adventure,mortal kombat,Lewis Tan Jessica McNamee Josh Lawson Simon McQuoid Action Fantasy Adventure
Mike Rianda,Abbi Jacobson,Danny McBride,Maya Rudolph,Animation Adventure Comedy,the mitchells vs. the machines,Abbi Jacobson Danny McBride Maya Rudolph Mike Rianda Animation Adventure Comedy
Nikole Beckwith,Ed Helms,Patti Harrison,Tig Notaro,Comedy,together together,Ed Helms Patti Harrison Tig Notaro Nikole Beckwith Comedy
Chad Ferrin,Gina La Piana,Robert Miano,Johann Urb,Horror Science Fiction,the deep ones,Gina La Piana Robert Miano Johann Urb Chad Ferrin Horror Science Fiction
Shari Springer Berman and Robert Pulcini,Amanda Seyfried,James Norton,Natalia Dyer,Horror,things heard & seen,Amanda Seyfried James Norton Natalia Dyer Shari Springer Berman and Robert Pulcini Horror
Stefano Sollima,Michael B. Jordan,Jamie Bell,Jodie Turner-Smith,Action Thriller,without remorse,Michael B. Jordan Jamie Bell Jodie Turner-Smith Stefano Sollima Action Thriller
Nick Stagliano,Anson Mount,Abbie Cornish,Eddie Marsan,Thriller Crime,the virtuoso,Anson Mount Abbie Cornish Eddie Marsan Nick Stagliano Thriller Crime
Rodrigo García,Glenn Close,Mila Kunis,Stephen Root,Drama,four good days,Glenn Close Mila Kunis Stephen Root Rodrigo García Drama
William Brent Bell,Rupert Friend,Mamie Gummer,Violet McGraw,Horror Drama,separation,Rupert Friend Mamie Gummer Violet McGraw William Brent Bell Horror Drama
Taylor Chien,Brock O'Hurn,Avery Pascual,Michael Vlamis,Horror,the resort,Brock O'Hurn Avery Pascual Michael Vlamis Taylor Chien Horror
Guy Ritchie,Jason Statham,Holt McCallany,Jeffrey Donovan,Action Crime Thriller,wrath of man,Jason Statham Holt McCallany Jeffrey Donovan Guy Ritchie Action Crime Thriller
Anthony Mandler,Kelvin Harrison Jr.,Jennifer Ehle,Tim Blake Nelson,Adventure Family TV Movie,monster,Kelvin Harrison Jr. Jennifer Ehle Tim Blake Nelson Anthony Mandler Adventure Family TV Movie
Tran Quoc Bao,Alain Uy,Ron Yuan,Mykel Shannon Jenkins,Action Comedy,the paper tigers,Alain Uy Ron Yuan Mykel Shannon Jenkins Tran Quoc Bao Action Comedy
Gia Coppola,Andrew Garfield,Maya Hawke,Nat Wolff,Comedy Drama,mainstream,Andrew Garfield Maya Hawke Nat Wolff Gia Coppola Comedy Drama
David Oyelowo,David Oyelowo,Rosario Dawson,Lonnie Chavis,Adventure,the water man,David Oyelowo Rosario Dawson Lonnie Chavis David Oyelowo Adventure
Billy Crystal,Billy Crystal,Tiffany Haddish,Penn Badgley,Comedy Drama,here today,Billy Crystal Tiffany Haddish Penn Badgley Billy Crystal Comedy Drama
Phillip Noyce,Jack Huston,Emilia Clarke,Thora Birch,Thriller Crime,above suspicion,Jack Huston Emilia Clarke Thora Birch Phillip Noyce Thriller Crime
Ivo Raza,David Koechner,Ed Begley Jr.,Chaz Bono,Comedy,reboot camp,David Koechner Ed Begley Jr. Chaz Bono Ivo Raza Comedy
Karl Holt,Karl Holt,Claire Cartwright,David Wayman,Horror Comedy,benny loves you,Karl Holt Claire Cartwright David Wayman Karl Holt Horror Comedy
Alexandre Aja,Mélanie Laurent,Mathieu Amalric,Malik Zidi,Crime Drama Mystery Thriller,oxygen,Mélanie Laurent Mathieu Amalric Malik Zidi Alexandre Aja Crime Drama Mystery Thriller
Zack Snyder,Dave Bautista,Ella Purnell,Omari Hardwick,Action Crime Horror Thriller,army of the dead,Dave Bautista Ella Purnell Omari Hardwick Zack Snyder Action Crime Horror Thriller
Taylor Sheridan,Angelina Jolie,Nicholas Hoult,Finn Little,Thriller Action Drama,those who wish me dead,Angelina Jolie Nicholas Hoult Finn Little Taylor Sheridan Thriller Action Drama
Joe Wright,Amy Adams,Gary Oldman,Anthony Mackie,Drama Crime Mystery Thriller,the woman in the window,Amy Adams Gary Oldman Anthony Mackie Joe Wright Drama Crime Mystery Thriller
Darren Lynn Bousman,Chris Rock,Max Minghella,Marisol Nichols,Horror Crime Mystery,spiral,Chris Rock Max Minghella Marisol Nichols Darren Lynn Bousman Horror Crime Mystery
Christoph Waltz,Christoph Waltz,Vanessa Redgrave,Annette Bening,Crime Drama,georgetown,Christoph Waltz Vanessa Redgrave Annette Bening Christoph Waltz Crime Drama
Brian Baugh,Rose Reid,Jedidiah Goodacre,Katherine McNamara,Romance Drama,finding you,Rose Reid Jedidiah Goodacre Katherine McNamara Brian Baugh Romance Drama
Robert Machoian,Clayne Crawford,Sepideh Moafi,Chris Coy,Drama Thriller,the killing of two lovers,Clayne Crawford Sepideh Moafi Chris Coy Robert Machoian Drama Thriller
"Mark S. Allen, Dante Yore",John Littlefield,Eric Roberts,Alyson Gorske,Horror Action,616 wilford lane,"John Littlefield Eric Roberts Alyson Gorske Mark S. Allen, Dante Yore Horror Action"
Euros Lyn,Toni Collette,Damian Lewis,Owen Teale,Comedy Drama,dream horse,Toni Collette Damian Lewis Owen Teale Euros Lyn Comedy Drama
Esteban Arango,Moisés Arias,Mateo Arias,Daniel Dae Kim,Drama,blast beat,Moisés Arias Mateo Arias Daniel Dae Kim Esteban Arango Drama
John Krasinski,Emily Blunt,Cillian Murphy,Millicent Simmonds,Science Fiction Thriller Horror,a quiet place part ii,Emily Blunt Cillian Murphy Millicent Simmonds John Krasinski Science Fiction Thriller Horror
Craig Gillespie,Emma Stone,Emma Thompson,Joel Fry,Comedy Crime,cruella,Emma Stone Emma Thompson Joel Fry Craig Gillespie Comedy Crime
Michael Barnett,Mack Beggs,Sarah Rose Huckman,Terry Miller,Drama Action,changing the game,Mack Beggs Sarah Rose Huckman Terry Miller Michael Barnett Drama Action
"Elaine Bogan, Ennio Torresan",Isabela Merced,Marsai Martin,Mckenna Grace,Animation Adventure Family Western,spirit untamed,"Isabela Merced Marsai Martin Mckenna Grace Elaine Bogan, Ennio Torresan Animation Adventure Family Western"
Michael Chaves,Patrick Wilson,Vera Farmiga,Ruairi O'Connor,Horror Mystery Thriller,the conjuring: the devil made me do it,Patrick Wilson Vera Farmiga Ruairi O'Connor Michael Chaves Horror Mystery Thriller
Nabil Elderkin,Jacob Latimore,Charlie Plummer,Jonathan Majors,Drama Crime,gully,Jacob Latimore Charlie Plummer Jonathan Majors Nabil Elderkin Drama Crime
Christopher MacBride,Dylan O'Brien,Maika Monroe,Hannah Gross,Thriller,flashback,Dylan O'Brien Maika Monroe Hannah Gross Christopher MacBride Thriller
Todd Randall,Milo Gibson,Laurence Fishburne,Glenn Morshower,Drama,under the stadium lights,Milo Gibson Laurence Fishburne Glenn Morshower Todd Randall Drama
Sebastian Siegel,Mena Suvari,Stuart Townsend,Frances Fisher,Drama Comedy Romance,grace and grit,Mena Suvari Stuart Townsend Frances Fisher Sebastian Siegel Drama Comedy Romance
Mark Raso,Gina Rodriguez,Jennifer Jason Leigh,Barry Pepper,Drama Science Fiction Thriller,awake,Gina Rodriguez Jennifer Jason Leigh Barry Pepper Mark Raso Drama Science Fiction Thriller
Jon M. Chu,Anthony Ramos,Corey Hawkins,Leslie Grace,Drama Music Romance,in the heights,Anthony Ramos Corey Hawkins Leslie Grace Jon M. Chu Drama Music Romance
Antoine Fuqua,Mark Wahlberg,Chiwetel Ejiofor,Sophie Cookson,Science Fiction Action Thriller,infinite,Mark Wahlberg Chiwetel Ejiofor Sophie Cookson Antoine Fuqua Science Fiction Action Thriller
Will Gluck,James Corden,Rose Byrne,Domhnall Gleeson,Family Comedy Adventure Animation Fantasy,peter rabbit 2: the runaway,James Corden Rose Byrne Domhnall Gleeson Will Gluck Family Comedy Adventure Animation Fantasy
Chris Appelhans,Jimmy Wong,John Cho,Constance Wu,Animation Family Comedy Fantasy,wish dragon,Jimmy Wong John Cho Constance Wu Chris Appelhans Animation Family Comedy Fantasy
Renny Harlin,Pierce Brosnan,Rami Jaber,Hermione Corfield,Action Thriller,the misfits,Pierce Brosnan Rami Jaber Hermione Corfield Renny Harlin Action Thriller
Ty Roberts,Luke Wilson,Vinessa Shaw,Wayne Knight,History Drama Action,12 mighty orphans,Luke Wilson Vinessa Shaw Wayne Knight Ty Roberts History Drama Action
Deon Taylor,Mike Epps,Katt Williams,Bresha Webb,Comedy Horror,the house next door: meet the blacks 2,Mike Epps Katt Williams Bresha Webb Deon Taylor Comedy Horror
Michael Lembeck,Ellen Burstyn,James Caan,Ann-Margret,Romance Comedy,queen bees,Ellen Burstyn James Caan Ann-Margret Michael Lembeck Romance Comedy
"Baron Davis, Carl Reid, Steven V. Vasquez Jr.",David Arquette,Snoop Dogg,Tom Lister Jr.,Comedy,domino: battle of the bones,"David Arquette Snoop Dogg Tom Lister Jr. Baron Davis, Carl Reid, Steven V. Vasquez Jr. Comedy"
Patrick Hughes,Ryan Reynolds,Samuel L. Jackson,Salma Hayek,Action Comedy Thriller,hitman's wife's bodyguard,Ryan Reynolds Samuel L. Jackson Salma Hayek Patrick Hughes Action Comedy Thriller
Enrico Casarosa,Jacob Tremblay,Jack Dylan Grazer,Emma Berman,Animation Comedy Family Fantasy,luca,Jacob Tremblay Jack Dylan Grazer Emma Berman Enrico Casarosa Animation Comedy Family Fantasy
Paul Weitz,Kevin Hart,Alfre Woodard,Lil Rel Howery,Drama Comedy,fatherhood,Kevin Hart Alfre Woodard Lil Rel Howery Paul Weitz Drama Comedy
Jimmy Giannopoulos,Shiloh Fernandez,Val Kilmer,Ewan McGregor,Crime Thriller,the birthday cake,Shiloh Fernandez Val Kilmer Ewan McGregor Jimmy Giannopoulos Crime Thriller
Mariem Pérez Riera,Rita Moreno,Eva Longoria,George Chakiris,Documentary,rita moreno: just a girl who decided to go for it,Rita Moreno Eva Longoria George Chakiris Mariem Pérez Riera Documentary
Tyler Savage,Christine Ko,Vincent van Horn,Michael Joplin,Horror Thriller,stalker,Christine Ko Vincent van Horn Michael Joplin Tyler Savage Horror Thriller
Jamie Adams,Alia Shawkat,Eiza González,Chanel Cresswell,Comedy Drama Music,love spreads,Alia Shawkat Eiza González Chanel Cresswell Jamie Adams Comedy Drama Music
Kimmy Gatewood,Iliza Shlesinger,Ryan Hansen,Margaret Cho,Comedy Romance,good on paper,Iliza Shlesinger Ryan Hansen Margaret Cho Kimmy Gatewood Comedy Romance
Justin Lin,Vin Diesel,John Cena,Michelle Rodriguez,Action Adventure Crime Thriller,f9,Vin Diesel John Cena Michelle Rodriguez Justin Lin Action Adventure Crime Thriller
Jonathan Hensleigh,Liam Neeson,Benjamin Walker,Amber Midthunder,Action Thriller,the ice road,Liam Neeson Benjamin Walker Amber Midthunder Jonathan Hensleigh Action Thriller
Josh Ruben,Sam Richardson,Milana Vayntrub,George Basil,Horror Comedy,werewolves within,Sam Richardson Milana Vayntrub George Basil Josh Ruben Horror Comedy
John Lee,Ilana Glazer,Justin Theroux,Sophia Bush,Horror Mystery Thriller,false positive,Ilana Glazer Justin Theroux Sophia Bush John Lee Horror Mystery Thriller
Eytan Rockaway,Harvey Keitel,Sam Worthington,AnnaSophia Robb,Crime Drama Thriller,lansky,Harvey Keitel Sam Worthington AnnaSophia Robb Eytan Rockaway Crime Drama Thriller
Heidi Ewing,Armando Espitia,Christian Vázquez,Michelle Rodríguez,Drama,i carry you with me,Armando Espitia Christian Vázquez Michelle Rodríguez Heidi Ewing Drama
Vanessa Roth,Mary J. Blige,Taraji P. Henson,Alicia Keys,Documentary Music,mary j. blige's my life,Mary J. Blige Taraji P. Henson Alicia Keys Vanessa Roth Documentary Music
Isaiah Smallman,Isaiah Smallman (director); Johnny Ray Gill,Kate Cobb,Vicky Jeudy,Crime Drama,rollers,Isaiah Smallman (director); Johnny Ray Gill Kate Cobb Vicky Jeudy Isaiah Smallman Crime Drama
Matt Thompson,Channing Tatum,Jason Mantzoukas,Olivia Munn,Animation Action Comedy,america: the motion picture,Channing Tatum Jason Mantzoukas Olivia Munn Matt Thompson Animation Action Comedy
Janicza Bravo,Taylour Paige,Riley Keough,Nicholas Braun,Comedy Crime,zola,Taylour Paige Riley Keough Nicholas Braun Janicza Bravo Comedy Crime
Steven Soderbergh,Don Cheadle,Benicio del Toro,David Harbour,Crime Drama Mystery,no sudden move,Don Cheadle Benicio del Toro David Harbour Steven Soderbergh Crime Drama Mystery
Chris McKay,Chris Pratt,Yvonne Strahovski,J. K. Simmons,Action Science Fiction Adventure,the tomorrow war,Chris Pratt Yvonne Strahovski J. K. Simmons Chris McKay Action Science Fiction Adventure
Tom McGrath,Alec Baldwin,James Marsden,Amy Sedaris,Animation Comedy Adventure Family,the boss baby: family business,Alec Baldwin James Marsden Amy Sedaris Tom McGrath Animation Comedy Adventure Family
Everardo Gout,Ana de la Reguera,Tenoch Huerta,Josh Lucas,Horror Action Thriller,the forever purge,Ana de la Reguera Tenoch Huerta Josh Lucas Everardo Gout Horror Action Thriller
Leigh Janiak,Kiana Madeira,Olivia Scott Welch,Benjamin Flores Jr.,Mystery Horror Fantasy,fear street part one: 1994,Kiana Madeira Olivia Scott Welch Benjamin Flores Jr. Leigh Janiak Mystery Horror Fantasy
Questlove,Questlove (director); Stevie Wonder,Nina Simone,Sly and the Family Stone,Documentary Music History,summer of soul,Questlove (director); Stevie Wonder Nina Simone Sly and the Family Stone Questlove Documentary Music History
S.K. Dale,Megan Fox,Eoin Macken,Callan Mulvey,Horror Thriller,till death,Megan Fox Eoin Macken Callan Mulvey S.K. Dale Horror Thriller
Craig Moss,Mackenzie Moss,Sadie Stanley,Mackenzie Ziegler,Science Fiction Thriller,let us in,Mackenzie Moss Sadie Stanley Mackenzie Ziegler Craig Moss Science Fiction Thriller
Cate Shortland,Scarlett Johansson,Florence Pugh,David Harbour,Action Adventure Science Fiction,black widow,Scarlett Johansson Florence Pugh David Harbour Cate Shortland Action Adventure Science Fiction
Leigh Janiak,Sadie Sink,Emily Rudd,Ryan Simpkins,Mystery Horror Fantasy,fear street part two: 1978,Sadie Sink Emily Rudd Ryan Simpkins Leigh Janiak Mystery Horror Fantasy
Carlos López Estrada,Tyris Winter,Marquesha Babers,Maia Mayor,Comedy Family Music,summertime,Tyris Winter Marquesha Babers Maia Mayor Carlos López Estrada Comedy Family Music
Navot Papushado,Karen Gillan,Lena Headey,Carla Gugino,Action Crime Thriller,gunpowder milkshake,Karen Gillan Lena Headey Carla Gugino Navot Papushado Action Crime Thriller
Malcolm D. Lee,LeBron James,Don Cheadle,Khris Davis,Family Animation Comedy Science Fiction,space jam: a new legacy,LeBron James Don Cheadle Khris Davis Malcolm D. Lee Family Animation Comedy Science Fiction
Adam Robitel,Taylor Russell,Logan Miller,Indya Moore,Horror Thriller Mystery,escape room: tournament of champions,Taylor Russell Logan Miller Indya Moore Adam Robitel Horror Thriller Mystery
Leigh Janiak,Kiana Madeira,Ashley Zukerman,Gillian Jacobs,Mystery Horror,fear street part three: 1666,Kiana Madeira Ashley Zukerman Gillian Jacobs Leigh Janiak Mystery Horror
Colin Schiffli,Alexandra Daddario,Diego Boneta,Justin Chatwin,Action Comedy Romance,die in a gunfight,Alexandra Daddario Diego Boneta Justin Chatwin Colin Schiffli Action Comedy Romance
Michael Sarnoski,Nicolas Cage,Alex Wolff,Adam Arkin,Drama Thriller,pig,Nicolas Cage Alex Wolff Adam Arkin Michael Sarnoski Drama Thriller
Mike Burns,Bruce Willis,Jaime King,Lala Kent,Action Thriller,out of death,Bruce Willis Jaime King Lala Kent Mike Burns Action Thriller
"Daryl Wein, Zoe Lister-Jones",Zoe Lister-Jones,Cailee Spaeny,Olivia Wilde,Science Fiction Thriller Mystery Action Adventure,how it ends,"Zoe Lister-Jones Cailee Spaeny Olivia Wilde Daryl Wein, Zoe Lister-Jones Science Fiction Thriller Mystery Action Adventure"
"Johane Matte, Andrew L. Schmidt, Franciso Ruiz Velasco",Emile Hirsch,Lexi Medrano,Charlie Saxton,Animation Fantasy Family Action Adventure,trollhunters: rise of the titans,"Emile Hirsch Lexi Medrano Charlie Saxton Johane Matte, Andrew L. Schmidt, Franciso Ruiz Velasco Animation Fantasy Family Action Adventure"
Robert Schwentke,Henry Golding,Andrew Koji,Úrsula Corberó,Action Adventure,snake eyes,Henry Golding Andrew Koji Úrsula Corberó Robert Schwentke Action Adventure
M. Night Shyamalan,Gael García Bernal,Vicky Krieps,Rufus Sewell,Thriller Mystery Horror,old,Gael García Bernal Vicky Krieps Rufus Sewell M. Night Shyamalan Thriller Mystery Horror
Reinaldo Marcus Green,Mark Wahlberg,Reid Miller,Connie Britton,Drama Adventure,joe bell,Mark Wahlberg Reid Miller Connie Britton Reinaldo Marcus Green Drama Adventure
Tanya Wexler,Tanya Wexler (director); Scott Wascha (screenwriter); Kate Beckinsale,Bobby Cannavale,Laverne Cox,Action Thriller,jolt,Tanya Wexler (director); Scott Wascha (screenwriter); Kate Beckinsale Bobby Cannavale Laverne Cox Tanya Wexler Action Thriller
Randall Emmett,Megan Fox,Bruce Willis,Emile Hirsch,Crime Mystery Thriller Action,midnight in the switchgrass,Megan Fox Bruce Willis Emile Hirsch Randall Emmett Crime Mystery Thriller Action
Peter Sattler,Ben Platt,Lola Kirke,Yvette Nicole Brown,Drama,broken diamonds,Ben Platt Lola Kirke Yvette Nicole Brown Peter Sattler Drama
Jaume Collet-Serra,Dwayne Johnson,Emily Blunt,Édgar Ramírez,Action Adventure Fantasy,jungle cruise,Dwayne Johnson Emily Blunt Édgar Ramírez Jaume Collet-Serra Action Adventure Fantasy
Kirk DeMicco,Lin-Manuel Miranda,Ynairaly Simo,Zoe Saldana,Animation Family Comedy,vivo,Lin-Manuel Miranda Ynairaly Simo Zoe Saldana Kirk DeMicco Animation Family Comedy
Tom McCarthy,Matt Damon,Camille Cottin,Abigail Breslin,Drama Crime Thriller,stillwater,Matt Damon Camille Cottin Abigail Breslin Tom McCarthy Drama Crime Thriller
David Lowery,Dev Patel,Alicia Vikander,Joel Edgerton,Adventure Drama Fantasy,the green knight,Dev Patel Alicia Vikander Joel Edgerton David Lowery Adventure Drama Fantasy
Edson Oda,Winston Duke,Zazie Beetz,Benedict Wong,Drama Fantasy,nine days,Winston Duke Zazie Beetz Benedict Wong Edson Oda Drama Fantasy
Trent O'Donnell,Jake Johnson,D'Arcy Carden,J.K. Simmons,Comedy Drama,ride the eagle,Jake Johnson D'Arcy Carden J.K. Simmons Trent O'Donnell Comedy Drama
Braden King,Philip Ettinger,Stacy Martin,Cosmo Jarvis,Drama,the evening hour,Philip Ettinger Stacy Martin Cosmo Jarvis Braden King Drama
James Gunn,Idris Elba,Margot Robbie,John Cena,Action Comedy Adventure,the suicide squad,Idris Elba Margot Robbie John Cena James Gunn Action Comedy Adventure
Chase Palmer,John Boyega,Olivia Cooke,Bill Skarsgård,Crime Drama,naked singularity,John Boyega Olivia Cooke Bill Skarsgård Chase Palmer Crime Drama
Pascual Sisto,Charlie Shotwell,Michael C. Hall,Jennifer Ehle,Drama Thriller,john and the hole,Charlie Shotwell Michael C. Hall Jennifer Ehle Pascual Sisto Drama Thriller
Scott Brignac,Hannah Kasulka,Luke Benward,Jude Demorest,Drama Action Thriller Crime,playing god,Hannah Kasulka Luke Benward Jude Demorest Scott Brignac Drama Action Thriller Crime
Todd Stephens,Udo Kier,Jennifer Coolidge,Linda Evans,Drama Science Fiction,swan song,Udo Kier Jennifer Coolidge Linda Evans Todd Stephens Drama Science Fiction
Nick Cannon,Nick Cannon,Chris Brown,Jaliyuh Manuel,Drama,she ball,Nick Cannon Chris Brown Jaliyuh Manuel Nick Cannon Drama
Vince Marcello,Joey King,Joel Courtney,Jacob Elordi,Romance Comedy,the kissing booth 3,Joey King Joel Courtney Jacob Elordi Vince Marcello Romance Comedy
Shawn Levy,Ryan Reynolds,Jodie Comer,Lil Rel Howery,Comedy Adventure Science Fiction,free guy,Ryan Reynolds Jodie Comer Lil Rel Howery Shawn Levy Comedy Adventure Science Fiction
Liesl Tommy,Jennifer Hudson,Forest Whitaker,Marlon Wayans,Music Drama History,respect,Jennifer Hudson Forest Whitaker Marlon Wayans Liesl Tommy Music Drama History
Ferdinando Cito Filomarino,John David Washington,Boyd Holbrook,Vicky Krieps,Crime Mystery Thriller,beckett,John David Washington Boyd Holbrook Vicky Krieps Ferdinando Cito Filomarino Crime Mystery Thriller
Rodo Sayagues,Stephen Lang,Brendan Sexton III,Madelyn Grace,Thriller Horror,don't breathe 2,Stephen Lang Brendan Sexton III Madelyn Grace Rodo Sayagues Thriller Horror
Sian Heder,Emilia Jones,Eugenio Derbez,Troy Kotsur,Drama Music Romance,coda,Emilia Jones Eugenio Derbez Troy Kotsur Sian Heder Drama Music Romance
Cal Brunker,Iain Armitage,Marsai Martin,Ron Pardo,Animation Family Adventure Comedy,paw patrol: the movie,Iain Armitage Marsai Martin Ron Pardo Cal Brunker Animation Family Adventure Comedy
Lisa Joy,Hugh Jackman,Rebecca Ferguson,Thandiwe Newton,Mystery Science Fiction,reminiscence,Hugh Jackman Rebecca Ferguson Thandiwe Newton Lisa Joy Mystery Science Fiction
Martin Campbell,Michael Keaton,Maggie Q,Samuel L. Jackson,Action Thriller,the protégé,Michael Keaton Maggie Q Samuel L. Jackson Martin Campbell Action Thriller
Brian Andrew Mendoza,Jason Momoa,Isabela Merced,Manuel Garcia-Rulfo,Action Thriller Drama,sweet girl,Jason Momoa Isabela Merced Manuel Garcia-Rulfo Brian Andrew Mendoza Action Thriller Drama
Dave Needham,Dave Needham (director); Asher Bishop,David Tennant,Michelle Gomez,Animation Family Comedy Adventure Fantasy,the loud house movie,Dave Needham (director); Asher Bishop David Tennant Michelle Gomez Dave Needham Animation Family Comedy Adventure Fantasy
David Bruckner,Rebecca Hall,Sarah Goldberg,Evan Jonigkeit,Drama Horror Mystery Thriller,the night house,Rebecca Hall Sarah Goldberg Evan Jonigkeit David Bruckner Drama Horror Mystery Thriller
Sean Penn,Dylan Penn,Sean Penn,Katheryn Winnick,Drama Thriller Crime,flag day,Dylan Penn Sean Penn Katheryn Winnick Sean Penn Drama Thriller Crime
Dash Shaw,Lake Bell,Michael Cera,Angeliki Papoulia,Animation Fantasy,cryptozoo,Lake Bell Michael Cera Angeliki Papoulia Dash Shaw Animation Fantasy
Janell Shirtcliff,Josie Ho,Bella Thorne,Gavin Rossdale,Crime Thriller Comedy,habit,Josie Ho Bella Thorne Gavin Rossdale Janell Shirtcliff Crime Thriller Comedy
Neill Blomkamp,Carly Pope,Chris William Martin,Michael Rogers,Drama Horror Science Fiction,demonic,Carly Pope Chris William Martin Michael Rogers Neill Blomkamp Drama Horror Science Fiction
Eddie Arya,Caroline McQuade,Kenneth Trujillo,Wassim Hawat,Action History Adventure Drama,risen,Caroline McQuade Kenneth Trujillo Wassim Hawat Eddie Arya Action History Adventure Drama
Kwang Il Han,Theo James,Lara Pulver,Graham McTavish,Animation Action Fantasy,the witcher: nightmare of the wolf,Theo James Lara Pulver Graham McTavish Kwang Il Han Animation Action Fantasy
Angel Kristi Williams,Kofi Siriboe,Yootha Wong-Loi-Sing,Blair Underwood,Romance Drama,really love,Kofi Siriboe Yootha Wong-Loi-Sing Blair Underwood Angel Kristi Williams Romance Drama
Nia DaCosta,Yahya Abdul-Mateen II,Teyonah Parris,Nathan Stewart-Jarrett,Horror Mystery Thriller,candyman,Yahya Abdul-Mateen II Teyonah Parris Nathan Stewart-Jarrett Nia DaCosta Horror Mystery Thriller
Clay Tarver,John Cena,Lil Rel Howery,Yvonne Orji,Comedy,vacation friends,John Cena Lil Rel Howery Yvonne Orji Clay Tarver Comedy
